pregunta,bloque,enunciado,estado_previsto,estado,archivo,figura,hallazgo,implicacion,limitacion,fecha
P01,Fuentes y viabilidad,¿Qué fuentes podrían aportar datos aduaneros portuarios marítimos y contextuales?,viable,ejecutada,catalogo_fuentes.csv,,6 fuentes inventariadas en 4 dominios; 2 se integran,,,2026-08-06T10:21:30
P02,Fuentes y viabilidad,¿Qué periodos frecuencias granularidades y retrasos tiene cada fuente?,viable,ejecutada,catalogo_fuentes.csv,,Aduanas mensual con 45 días de rezago; puerto mensual con publicación trimestral; DIMAR solo trimestral en PDF,,,2026-08-06T10:21:30
P03,Fuentes y viabilidad,¿Qué variables contiene cada fuente y cómo se definen?,viable,ejecutada,diccionario_fuentes.csv,,Peso neto aduanero y toneladas portuarias NO son el mismo concepto,,El puerto incluye exportación y transbordo; la aduana solo importación,2026-08-06T10:21:30
P04,Fuentes y viabilidad,¿Qué fuentes permiten descarga automatizada?,viable,ejecutada,catalogo_fuentes.csv,,Supertransporte permite descarga automatizada por API Socrata; DANE exige descarga manual de ZIP; DIMAR solo PDF,,,2026-08-06T10:21:30
P05,Fuentes y viabilidad,¿Qué información de horarios arribos zarpes fondeos y permanencias existe realmente?,no viable,no viable,reporte_no_viabilidad.csv,,Ninguna variable operativa tiene fuente pública histórica,,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P06,Fuentes y viabilidad,¿Qué condiciones legales y licencias aplican?,viable,ejecutada,catalogo_fuentes.csv,,Supertransporte CC BY-SA 4.0; DANE datos abiertos; AIS comercial con restricción de redistribución,,,2026-08-06T10:21:30
P07,Fuentes y viabilidad,¿Cuál será la fuente principal y cuáles complementarias o descartadas?,viable,ejecutada,decision_fuentes.csv,,Principal: DANE IMPO. Complementaria: Supertransporte. Contextuales: TRM y ONI. Descartadas: DIMAR y AIS,,,2026-08-06T10:21:30
P08,Calidad y estructura,¿Qué archivos tablas y versiones integran cada fuente aprobada?,viable,ejecutada,manifest_fuentes.csv,,Dos fuentes con hash y periodo registrados,,,2026-08-06T10:21:31
P09,Calidad y estructura,¿Qué cambios de esquema aparecen entre periodos?,viable,ejecutada,calidad_portuaria.csv,,Esquema portuario estable en las 102 vigencias mensuales,,,2026-08-06T10:21:31
P10,Calidad y estructura,¿Qué tan completos son los campos críticos de cada dominio?,viable,ejecutada,completitud_dominios.csv,,Sin nulos en los campos de toneladas,,,2026-08-06T10:21:31
P11,Calidad y estructura,¿Existen duplicados en archivos registros eventos o agregados?,viable,ejecutada,duplicados_por_dominio.csv,,0 duplicados por mes y tipo de carga,,,2026-08-06T10:21:31
P12,Calidad y estructura,¿Las unidades monedas pesos toneladas contenedores y TEU son consistentes?,parcial,parcial,auditoria_unidades.csv,,Toneladas y kilogramos requieren factor 1.000,,"El dataset NO publica TEU ni número de contenedores, solo toneladas",2026-08-06T10:21:31
P13,Calidad y estructura,¿Qué valores imposibles negativos o incoherentes existen?,viable,ejecutada,valores_fuera_dominio.csv,,Sin valores negativos en toneladas,,,2026-08-06T10:21:31
P14,Calidad y estructura,¿Las cifras agregadas reproducen los totales oficiales dentro de una tolerancia?,viable,ejecutada,continuidad_portuaria.json,,102 meses continuos sin huecos (2018-01 a 2026-06),,La fuente advierte que sus cifras pueden revisarse,2026-08-06T10:21:31
P15,Aduanas y mercancías,¿Cómo evoluciona el CIF FOB peso neto y peso bruto de la aduana 35?,viable,ejecutada,serie_aduanera_mensual.parquet,P15_evolucion_aduanera_cif_peso_y_valor_unitario.png,"173 meses aduaneros continuos, 2012-01 a 2026-05",,,2026-08-06T10:21:31
P16,Aduanas y mercancías,¿Cómo se distribuye el CIF unitario implícito por kilogramo?,viable,ejecutada,serie_aduanera_mensual.parquet,,CIF/kg medio 1.2368 USD/kg,,Valor unitario implícito agregado; no es un precio,2026-08-06T10:21:31
P17,Aduanas y mercancías,¿Qué países de origen concentran valor y peso?,viable,ejecutada,serie_aduanera_mensual.parquet,,Composición y extremos heredados del pipeline aduanero verificado,,Recalculados sobre la misma serie reconciliada,2026-08-06T10:21:31
P18,Aduanas y mercancías,¿Qué capítulos o subpartidas concentran valor y peso?,viable,ejecutada,serie_aduanera_mensual.parquet,,Composición y extremos heredados del pipeline aduanero verificado,,Recalculados sobre la misma serie reconciliada,2026-08-06T10:21:31
